victim;gang;date;Victim Country;Victim sectors;NumberN/AofN/Aemployees;Sales;Ransom Currency;Ransom Paid
linksunlimited;blackbasta;12/3/2024;Usa;Service;105;$84.9M;;
imperialtrading;blackbasta;12/3/2024;Usa;Service;278;$297.5M;;
Brooks Tropicals;rhysida;12/3/2024;Usa;Hospitality;169;$78.8M;;
WALKERSANDFORD;blacksuit;12/3/2024;Uk;Service;;;;
Withall;blacksuit;12/3/2024;Uk;Service;11-50;;;
Kaplan;hunters;12/3/2024;Usa;Energy;10000;$1.1B;;
Sprimoglass;8base;12/3/2024;Belgium;Industrial;289;$11.5M;;
CHRG;8base;12/3/2024;Australia;Entertainment;201-500;;;
Federchimica;8base;12/3/2024;Italy;Industrial;94000;;;
Bechtold;play;11/3/2024;Germany;Construction;;;;
Zips Car Wash;play;11/3/2024;Usa;Service;1917;$392.9M;;
Schokinag;play;11/3/2024;Germany;Hospitality;136;$6.8M;;
Image Pointe;play;11/3/2024;Usa;Service;39;$8.6M;;
Ruda Auto;play;11/3/2024;Usa;Industrial;;;;
White Oak Partners;play;11/3/2024;Usa;Service;71;$14.4M;;
Canada Revenue Agency;play;11/3/2024;Canada;Service;59155;;;
Fashion UK;play;11/3/2024;Uk;Industrial;51-200;;;
Grassmid Transport;play;11/3/2024;Usa;Transportation;;$7.8M;;
Bridger Insurance;play;11/3/2024;Usa;Financial;29;$6.5M;;
BiTec;play;11/3/2024;Usa;Technology;;$6.3M;;
QI Group;play;11/3/2024;Canada;Service;;$7.4M;;
QEO Group;play;11/3/2024;Usa;Construction;87;$58.8M;;
SREE Hotels;play;11/3/2024;Usa;Hospitality;85;$119M;;
leclondon;lockbit3;11/3/2024;Uk;Healthcare;11-50;;;
londonvisionclinic;lockbit3;11/3/2024;Uk;Healthcare;27;$6.3M;;
Premier Technology;play;11/3/2024;Usa;Technology;1316;$982M;;
Computan;ransomhub;11/3/2024;Canada;Technology;95;$17.8M;;
plymouth;cactus;11/3/2024;Usa;Industrial;;;;
neigc;abyss;11/3/2024;Usa;Construction;220;$143.6M;;
cleshar.co;cactus;11/3/2024;Uk;Construction;376;$239.3M;;
NetVigour;hunters;11/3/2024;Usa;Technology;25;$6.6M;;
gpaa.gov.za;lockbit3;11/3/2024;South africa;Public;;;;
renypicot;cactus;11/3/2024;Spain;Industrial;566;$911.7M;;
ammega;cactus;11/3/2024;Netherlands;Industrial;6000;$1.6B;;
Scadea Solutions;ransomhub;11/3/2024;Usa;Technology;83;$22.1M;;
consorzioinnova.it;mydata;9/3/2024;Italy;Construction;72;$10.3M;;
DVT;ransomhub;9/3/2024;Uk;Healthcare;501-1000;;;
go4kora;ransomhub;9/3/2024;Egypt;Entertainment;;;;
Rekamy;ransomhub;9/3/2024;Malaysia;Technology;11-50;;;
H + G EDV Vertriebs;blacksuit;9/3/2024;Germany;Technology;;;;
Lindsay Municipal Hospital;bianlian;9/3/2024;Usa;Healthcare;36;$13.8M;;
Fincasrevuelta;everest;9/3/2024;Spain;Hospitality;;;;
Group Healthcare Cooperative;blacksuit;9/3/2024;Usa;Technology;6000;;;
ACE Air Cargo;hunters;9/3/2024;Usa;Service;137;$23.8M;;
Watsonclinic;donutleaks;9/3/2024;Usa;Research;1707;$118.2M;;
redwoodcoastrc;lockbit3;8/3/2024;Usa;Service;97;$125.1M;;
PowerRail Distribution;blacksuit;8/3/2024;Usa;Industrial;98;$27.6M;;
Denninger’s;medusalocker;8/3/2024;Canada;Hospitality;300;$63.8M;;
Hozzify;ransomhub;8/3/2024;Colombia;Industrial;;;;
SIEA;ransomhub;8/3/2024;Slovakia;Hospitality;;;;
elsapspa;donex;8/3/2024;Italy;Industrial;;;;
PFLEET;donex;8/3/2024;Usa;Financial;;;;
vdhelm;donex;8/3/2024;Netherlands;Transportation;;;;
mirel;donex;8/3/2024;Belgium;Service;;;;
CHOCOTOPIA;donex;8/3/2024;Czech republic;Entertainment;51-200;;;
rmhfranchise;lockbit3;7/3/2024;Usa;Hospitality;261;;;
New York Home Healthcare;bianlian;7/3/2024;Usa;Healthcare;;;;
Palmer Construction Co.;bianlian;7/3/2024;Usa;Construction;28;$13.7M;;
enactarchitecture;qilin;7/3/2024;France;Industrial;;;;
SP Mundi;ransomhub;7/3/2024;Brazil;Financial;2-10;;;
Merchant ID;ransomhub;7/3/2024;Indonesia;Communication;;;;
duvel;stormous;7/3/2024;Belgium;Hospitality;472;$17.8M;;
loghmanpharma;stormous;7/3/2024;Iran;Industrial;201-500;;;
Continental Aerospace Technologies;play;6/3/2024;Usa;Service;180;$91.6M;;
MainVest;play;6/3/2024;Usa;Financial;;;;
US #1364 Federal Credit Union;medusalocker;6/3/2024;Usa;Financial;;$5.2M;;
American Renal Associates;medusalocker;6/3/2024;Usa;Healthcare;4752;$752.3M;;
JVCKENWOOD;medusalocker;6/3/2024;Thailand;Technology;;;;
Tocci Building Corporation;medusalocker;6/3/2024;Usa;Construction;92;$30.2M;;
Haivision MCS;medusalocker;6/3/2024;Usa;Technology;328;$102.5M;;
viadirectamarketing;stormous;6/3/2024;Spain;Communication;;;;
Liquid Environmental Solutions;ransom;6/3/2024;Usa;Service;881;$681.3M;;
Infosoft;akira;6/3/2024;New zealand;Technology;185;$15M;;
brightwires.sa;qilin;6/3/2024;Saudi arabia;Technology;83;$25M;;
Telecentro;akira;6/3/2024;Argentina;Media;833;$134.3M;;
Medical Billing Specialists;akira;6/3/2024;Usa;Service;64;;;
Steiner (Austrian furniture makers);akira;6/3/2024;Austria;Industrial;800;$61M;;
Biomedical Research Institute;meow;6/3/2024;Usa;Research;28;$5.1M;;
Global Zone;8base;6/3/2024;Australia;Technology;;;;
Kudulis Reisinger Price;8base;6/3/2024;Usa;Service;;;;
Enplast;8base;6/3/2024;Spain;Industrial;119;$6.5M;;
Mediplast AB;8base;6/3/2024;Sweden;Healthcare;114;$25M;;
airbogo;stormous;5/3/2024;South korea;Transportation;;;;
sunwave.cn;lockbit3;5/3/2024;China;Technology;1212;$1.6B;;
SJCME.EDU;clop;5/3/2024;Usa;Education;727;;;
central.k12.or;lockbit3;5/3/2024;Usa;Education;67;$12.2M;;
hawitagruppe;qilin;5/3/2024;Germany;Hospitality;297;$50.1M;;
iemsc;qilin;5/3/2024;United arab emirates;Construction;2000;;;
Future Generations Foundation;meow;5/3/2024;Canada;Industrial;;;;
Seven Seas Group;snatch;5/3/2024;United arab emirates;Industrial;710;$326.6M;;
Veeco;medusalocker;4/3/2024;Usa;Industrial;1215;$687.4M;;
Paul Davis Restoration;medusalocker;4/3/2024;Usa;Public;6000;$1.2B;;
everplast;stormous;4/3/2024;Brazil;Industrial;60;$15.1M;;
dismogas;stormous;4/3/2024;Colombia;Energy;;;;
DiVal Safety Equipment;hunters;4/3/2024;Usa;Public;309;$62M;;
America Chung Nam orACN;akira;4/3/2024;Usa;Entertainment;410;$201.7M;;
valoremreply;lockbit3;4/3/2024;Usa;Technology;378;$47M;;
jovani;lockbit3;4/3/2024;Usa;Industrial;47;$30.6M;;
Martin's;bianlian;4/3/2024;Usa;Construction;;;;
Chris Argiropoulos Professional;medusalocker;3/3/2024;Canada;Service;;;;
Eastern Rio Blanco Metropolitan;medusalocker;3/3/2024;Usa;Transportation;;;;
Centennial Law Group LLP;medusalocker;3/3/2024;Canada;Public;;;;
Sophiahemmet University;medusalocker;3/3/2024;Sweden;Education;812;$88.7M;;
Prompt Financial Solutions;medusalocker;3/3/2024;Canada;Financial;;$5.9M;;
THESAFIRCHOICE;clop;3/3/2024;Usa;Consumer;;;;
THAISUMMIT;clop;3/3/2024;Usa;Industrial;731;$92.8M;;
ipmaltamira;alphv;3/3/2024;Mexico;Technology;;;;
earnestHealthcare;lockbit3;3/3/2024;Usa;Healthcare;1368;$188.2M;;
Ward Transport & Logistics;dragonforce;3/3/2024;Usa;Transportation;1400;$457.2M;;
Stoney Creek Furniture;medusalocker;3/3/2024;Canada;Industrial;87;$19.7M;;
Ewig Usa;alphv;3/3/2024;China;Industrial;3938;$741.8M;;
stockdevelopment;lockbit3;3/3/2024;Usa;Hospitality;320;$165.5M;;
aerospace;lockbit3;2/3/2024;Usa;Transportation;;;;
smuldes;lockbit3;2/3/2024;Belgium;Industrial;534;$609.1M;;
unitednotions;lockbit3;2/3/2024;Usa;Industrial;70;$29.4M;;
schuettgrundei;lockbit3;2/3/2024;Germany;Healthcare;;;;
roehrstolberg;lockbit3;2/3/2024;Germany;Industrial;;;;
starkpower;lockbit3;2/3/2024;Germany;Energy;;;;
esserps;lockbit3;2/3/2024;Germany;Industrial;;;;
Trans+Plus Systems;play;2/3/2024;Canada;Transportation;42;$7.9M;;
Powill Manufacturing & Engineering;play;2/3/2024;Usa;Industrial;85;$17.1M;;
A&A Wireless;play;2/3/2024;Usa;Technology;11-50;;;
American Nuts;play;2/3/2024;Usa;Hospitality;247;$104.2M;;
Skyland Grain;play;2/3/2024;Usa;Consumer;400;$25.3M;;
Hedlunds;play;1/3/2024;Sweden;Industrial;;;;
Koolair;play;1/3/2024;Canada;Service;269;$25.6M;;
Influence Communication;play;1/3/2024;Canada;Communication;80;$17.2M;;
New Bedford Welding Supply;play;1/3/2024;Usa;Service;28;$7.4M;;
Coastal Car;play;1/3/2024;Usa;Consumer;61;$5.7M;;
Stack Infrastructure;play;1/3/2024;Usa;Technology;724;$176.5M;;
Marketon;play;1/3/2024;Usa;Financial;;$12M;;
Winona Pattern & Mold;play;1/3/2024;Usa;Service;;$6.7M;;
Compact Mould;play;1/3/2024;Canada;Energy;105;$18.5M;;
Red River Title;play;1/3/2024;Usa;Financial;;$7.2M;;
FBi Construction;play;1/3/2024;Usa;Healthcare;100;$8.2M;;
SBM & Co;alphv;1/3/2024;Uk;Service;11-50;;;
Shooting House;ransomhub;1/3/2024;Brazil;Construction;;;;
Petrus Resources Ltd;alphv;1/3/2024;Canada;Energy;;$82M;;
Gilmore Construction;blacksuit;1/3/2024;Usa;Construction;35;$9.1M;;
Crystal Window & Door Systems;dragonforce;1/3/2024;Usa;Industrial;372;$209.3M;;
Gansevoort Hotel Group;akira;1/3/2024;Usa;Consumer;88;$6.5M;;
Core;akira;1/3/2024;Canada;Technology;;;;
Kumagai Gumi Group;alphv;1/3/2024;Japan;Construction;2626;$2.7B;;
Gilmore & Associates;play;29/2/2024;Usa;Service;138;$26.5M;;
Allan Berger & Associates;alphv;29/2/2024;Usa;Service;;;;
hvd.host;blackbasta;29/2/2024;Australia;Technology;;;;
Artissimo Designs;dragonforce;29/2/2024;Usa;Industrial;73;$68.4M;;
Erwat;dragonforce;29/2/2024;South africa;Energy;697;$55.6M;;
Faison;dragonforce;29/2/2024;Usa;Hospitality;110;$27.9M;;
Array Networks;dunghill_leak;29/2/2024;Usa;Technology;239;$40.8M;;
goodinabernathy;blackbasta;29/2/2024;Usa;Service;;$5.7M;;
scullionlaw;blackbasta;29/2/2024;Uk;Service;27;;;
fcw.ch;blackbasta;29/2/2024;Switzerland;Consumer;60;$12.3M;;
haas4;blackbasta;29/2/2024;Usa;Industrial;249;$54.5M;;
alanritchey;blackbasta;29/2/2024;Usa;Transportation;1423;$157.6M;;
Benthanh Group;ransomhub;29/2/2024;Vietnam;Financial;28;$7.5M;;
sunharbormanor;abyss;29/2/2024;Usa;Healthcare;314;$29.6M;;
HSPG & Associates;snatch;29/2/2024;Usa;Financial;;;;
gapsolutions;lockbit3;29/2/2024;Australia;Retail;72;$15.2M;;
Essential Labs;8base;29/2/2024;Usa;Healthcare;90;;;
HAL Allergy;ransomhouse;28/2/2024;Netherlands;Industrial;295;$61.1M;;
Dinamic Oil;trigona;28/2/2024;Italy;Energy;266;$10.6M;;
Hotel Avenida;trigona;28/2/2024;Spain;Hospitality;32;$6.6M;;
easternshipbuilding;lockbit3;28/2/2024;Usa;Construction;1300;$353M;;
J A Piper Roofing;blacksuit;28/2/2024;Usa;Construction;78;$19.9M;;
etairosHealthcare;qilin;28/2/2024;Usa;Research;;;;
DTN Management Company;akira;28/2/2024;Usa;Hospitality;298;$26.3M;;
Change Healthcare Optum UnitedHealthcare;alphv;28/2/2024;Usa;Research;;;;
Medall Healthcare Pvt Ltd.;bianlian;28/2/2024;India;Healthcare;;;;
sundbirsta;lockbit3;28/2/2024;Sweden;Public;82;$20.8M;;
vertdure;lockbit3;28/2/2024;Canada;Technology;681;$13.8M;;
abtexelgroup;cactus;28/2/2024;Netherlands;Hospitality;448;$222.6M;;
Frencken;snatch;28/2/2024;Malaysia;Industrial;;;;
Orange Public School District;ransom;28/2/2024;Usa;Education;474;$48.6M;;
Bertani Trasporti Spa;8base;28/2/2024;Italy;Transportation;591;$9M;;
Saudia MRO;8base;28/2/2024;Saudi arabia;Construction;;;;
RWF Frömelt;8base;28/2/2024;Austria;Service;;;;
ROYAL INSIGNIA;8base;28/2/2024;Singapore;Consumer;68;$6.5M;;
Acies Srl;8base;28/2/2024;Italy;Service;;;;
verbraucherzentrale hessen;alphv;27/2/2024;Germany;Service;2505;$562M;;
npgandour;lockbit3;27/2/2024;Ivory coast;Service;223;$26.9M;;
JS International;medusalocker;27/2/2024;Usa;Retail;104;$29.1M;;
Electro Marteix;alphv;27/2/2024;Spain;Technology;;;;
mooretibbits.co;threeam;27/2/2024;Uk;Service;;;;
Ann & Robert H. Lurie Children's Hospital of Chicago;rhysida;27/2/2024;Usa;Healthcare;6400;$88.6M;;
Allied Industrial Group;akira;8/7/2024;Usa;Industrial;87;;;
WEL Partners;ransom;27/2/2024;Canada;Service;;;;
Ironrock;rhysida;26/2/2024;Usa;Industrial;133;$22.8M;;
metal7;blackout;26/2/2024;Canada;Industrial;213;$21M;;
charmentieres.fr;blackout;26/2/2024;France;Healthcare;;;;
PEDDIE;clop;26/2/2024;Usa;Education;369;$30.3M;;
prattindustries;lockbit3;26/2/2024;Usa;Industrial;10000;$4B;;
Penn Cinema;medusalocker;26/2/2024;Usa;Entertainment;67;$13.4M;;
GCA Nederland;ransomhouse;26/2/2024;Netherlands;Transportation;;;;
Headwater Companies ;ransomhub;26/2/2024;Usa;Retail;148;$11.7M;;
Southwest Industrial Sales;medusalocker;26/2/2024;Usa;Industrial;;;;
Angeles Medical Centers;alphv;26/2/2024;Usa;Healthcare;68;$23.6M;;
The Professional Liability Fund;medusalocker;26/2/2024;Usa;Financial;;;;
Bjuvs kommun;akira;26/2/2024;Sweden;Public;93;$29.9M;;
Webber International University;ransomhouse;26/2/2024;Usa;Education;128;$9M;;
S+C Partners;alphv;26/2/2024;Canada;Industrial;86;$19.6M;;
BRADSHAWMEDICAL;clop;24/2/2024;Usa;Healthcare;155;$2M;;
ernestHealthcare;lockbit3;26/2/2024;Usa;Healthcare;1368;$188.2M;;
silganholdings;lockbit3;26/2/2024;Usa;Industrial;14520;$5.9M;;
Pot O’ Gold Coffee;ciphbit;25/2/2024;Usa;Hospitality;;;;
AL SHEFA FARM;ransomhub;25/2/2024;Romania;Healthcare;;;;
dunaway;lockbit3;25/2/2024;Usa;Service;222;$141.3M;;
nationaldentex;lockbit3;25/2/2024;Usa;Healthcare;4000;$813.9M;;
crbgroup;lockbit3;25/2/2024;Usa;Service;1700;$323.9M;;
equilend;lockbit3;25/2/2024;Usa;Service;347;$26M;;
Wangkanai Group;ransomhouse;24/2/2024;Thailand;Industrial;778;$341M;;
Spine West;monti;24/2/2024;Usa;Healthcare;31;;;
Roncelli Plastics;bianlian;24/2/2024;Usa;Industrial;53;$22M;;
kinematica.ch;qilin;24/2/2024;Switzerland;Research;;$18.3M;;
GRUPOCREATIVO;qilin;24/2/2024;Ecuador;Industrial;;;;
Welch's;play;23/2/2024;Usa;Hospitality;1250;$669.9M;;
IJM Corporation;hunters;23/2/2024;Malaysia;Construction;3800;$1.2B;;
Family Healthcare center;alphv;23/2/2024;Usa;Healthcare;142;$20.2M;;
remkes.nl;cactus;23/2/2024;Netherlands;Hospitality;350;$31.4M;;
Rapid Granulator;ransomhouse;23/2/2024;Sweden;Industrial;81;$27.2M;;
BM Catalysts bmcatalysts.co;alphalocker;14/2/2024;Uk;Industrial;215;$36.1M;;
Ponoka.ca;cloak;23/2/2024;Canada;Public;30;;;
APEX apexspedition;monti;23/2/2024;Germany;Transportation;;;;
Pressco Technology;medusalocker;23/2/2024;Usa;Industrial;147;$19.2M;;
Acorn;medusalocker;23/2/2024;Uk;Financial;501-1000;;;
Hypertension Nephrology Associates, P.C.;bianlian;23/2/2024;Usa;Healthcare;36;$12.1M;;
ANDFLA SRL;alphv;23/2/2024;Romania;Hospitality;;;;
;play;22/2/2024;Usa;;;;;
Quik Pawn Shop;akira;22/2/2024;Usa;Energy;;;;
abcor;threeam;22/2/2024;Australia;Industrial;308;$5.6M;;
mtmrobotics;threeam;22/2/2024;Usa;Industrial;28;;;
PEER Consultants;akira;22/2/2024;Usa;Service;73;$17.7M;;
usmerchants;blackbasta;22/2/2024;Usa;Industrial;1297;$208.8M;;
climatech;blackbasta;22/2/2024;Usa;Industrial;100;$21.1M;;
nfllp;blackbasta;22/2/2024;Usa;Hospitality;27;$6.1M;;
Hardeman County Community Healthcare Center;alphv;22/2/2024;Usa;Healthcare;88;$9.2M;;
zirco;blackbasta;22/2/2024;Australia;Service;137;$61.3M;;
dilweg;blackbasta;22/2/2024;Usa;Financial;87;$23.1M;;
birchallfoodservice.co;blackbasta;22/2/2024;Uk;Hospitality;142;$9.1M;;
KHSS;alphv;21/2/2024;Usa;Service;363;$1.6B;;
Desarrollo De Tecnologia y Sistemas Ltda;akira;21/2/2024;Chile;Technology;91;$6.4M;;
Lancaster;akira;21/2/2024;Usa;Service;;;;
Marchassociates;bianlian;21/2/2024;Usa;Construction;83;$20.1M;;
HRTec Inc;bianlian;21/2/2024;Usa;Construction;28;$5M;;
Austen Consultants;alphv;21/2/2024;Usa;Technology;;;;
dasteam.ch;blackbasta;21/2/2024;Switzerland;Service;51-200;$1M-$2M;;
doneff;threeam;21/2/2024;Usa;Consumer;31;$9.2M;;
Axel Johnson;8base;21/2/2024;Sweden;Hospitality;25000;$8.6M;;
Helical Technology;8base;21/2/2024;Uk;Research;201-500;$20M;;
Speditionweise;cloak;20/2/2024;Germany;Transportation;;;;
theharriscenter;cloak;20/2/2024;Usa;Service;2091;$274.8M;;
wencor;cloak;20/2/2024;Usa;Technology;616;$158M;;
River Delta Unified School District;meow;20/2/2024;Usa;Education;78;$15.5M;;
Finlay Screening & Crushing Systems;hunters;20/2/2024;Australia;Industrial;75;$19.4M;;
advancedprosolutions;cactus;20/2/2024;Usa;Service;;;;
Raocala;everest;20/2/2024;Usa;Healthcare;80;$6.1M;;
loransrl;qilin;19/2/2024;Italy;Technology;25;$7M;;
soco;lockbit3;19/2/2024;Belgium;Industrial;;;;
se;cactus;19/2/2024;France;Energy;;;;
First Professional Services;bianlian;19/2/2024;Usa;Service;;;;
ki.se;trisec;19/2/2024;Sweden;Education;5143;$851.5M;;
aivi.it;trisec;19/2/2024;Italy;Healthcare;2-10;;;
Westward 360;dragonforce;19/2/2024;Usa;Service;171;$34M;;
Compression Leasing Services;dragonforce;19/2/2024;Usa;Service;80;$21.7M;;
aeromechinc;lockbit3;18/2/2024;Usa;Education;43;$9.2M;;
carlfischer;lockbit3;18/2/2024;Usa;Entertainment;33;$7.3M;;
Bimbo Bakeries;medusalocker;18/2/2024;Mexico;Hospitality;10129;$8.4B;;
bucherstrauss.ch;lockbit3;18/2/2024;Switzerland;Financial;;;;
calcomp.co.th;stormous;14/2/2024;Thailand;Industrial;22508;$4B;;
bombaygrills;stormous;14/2/2024;Croatia;Hospitality;;;;
delia.pl;stormous;16/2/2024;Poland;Industrial;329;$50.9M;;
VSP Dental;alphv;18/2/2024;Usa;Healthcare;;;;
antunovich;blacksuit;17/2/2024;Usa;Industrial;100;$19.1M;;
Wapiti Energy;hunters;17/2/2024;Usa;Energy;61;$26.8M;;
BS&B Safety Systems L.L.C;hunters;17/2/2024;Ireland;Industrial;343;$68.5M;;
Chicago Zoological Society;hunters;17/2/2024;Usa;Public;694;$71.2M;;
Aftrp;hunters;17/2/2024;France;Service;;;;
Voice Technologies;hunters;17/2/2024;Uk;Technology;29;;;
Tiete Automobile;hunters;17/2/2024;Brazil;Industrial;81;$26.2M;;
Greater Napanee;hunters;17/2/2024;Canada;Public;267;$53.1M;;
PSI;hunters;17/2/2024;Usa;Service;;$5M;;
CP Communications;hunters;17/2/2024;Usa;Media;89;$22.5M;;
LoanDepot;alphv;16/2/2024;Usa;Financial;4188;$741.1M;;
Prudential Financial;alphv;16/2/2024;Usa;Financial;10001-50000;$61.82B;;
cogans.ie;trisec;16/2/2024;Ireland;Energy;26;$6.9M;;
The Chas. E. Phipps;medusalocker;16/2/2024;Usa;Construction;42;$8.7M;;
BRONSTEINCARMONA;clop;16/2/2024;Usa;Service;;$5.5M;;
davidsbridal;werewolves;16/2/2024;Usa;Consumer;9000;$211.1M;;
BRAM Auto Group;akira;16/2/2024;Usa;Industrial;64;$6.4M;;
etisalat.ae;lockbit3;16/2/2024;United arab emirates;Technology;;;;
tormetal.cl;lockbit3;16/2/2024;Chile;Industrial;313;$5.4M;;
pacifica.co;blackbasta;16/2/2024;Uk;Service;670;$45.7M;;
Concello de Teo;hunters;16/2/2024;Spain;Energy;219;$43.6M;;
spaldingssd;lockbit3;16/2/2024;Canada;Consumer;25;$7M;;
theclosingagent;lockbit3;16/2/2024;Usa;Financial;37;$10.6M;;
RibeGroupe;hunters;16/2/2024;France;Consumer;286;$6.5M;;
Griffin Dewatering;hunters;16/2/2024;Usa;Energy;405;$83M;;
Dobrowski Stafford & Pierce;bianlian;15/2/2024;Usa;Service;11-50;;;
von Hagen;play;15/2/2024;Germany;Consumer;;$5M;;
LD Davis;play;15/2/2024;Usa;Industrial;130;$14.9M;;
SilverLining;play;15/2/2024;Usa;Consumer;308;$27.6M;;
DuBose Strapping;play;15/2/2024;Usa;Industrial;169;$33.5M;;
MeerServices;play;15/2/2024;Netherlands;Energy;;;;
Onclusive;play;15/2/2024;Uk;Technology;90;$231.1M;;
Mechanical Reps;play;15/2/2024;Usa;Healthcare;55;$17.2M;;
HR Ewell & Hytec;play;15/2/2024;Usa;Technology;201-500;$46.9M;;
Norman;play;15/2/2024;Usa;Industrial;52;$9.6M;;
Schuster Trucking Company;hunters;15/2/2024;Usa;Transportation;28;;;
Asam;akira;15/2/2024;Romania;Education;202;$13.7M;;
Advantage Orthopedic & Sports Medicine Clinic;bianlian;15/2/2024;Usa;Healthcare;;;;
ASP Basilicata ASM Matera IRCCS CROB;rhysida;15/2/2024;Italy;Healthcare;;;;
Hawbaker Engineering;snatch;15/2/2024;Usa;Service;1893;$269.3M;;
hatsinteriors;lockbit3;15/2/2024;United arab emirates;Industrial;33;$6.4M;;
sitrack;lockbit3;15/2/2024;Argentina;Technology;237;$5.3M;;
coreengg;lockbit3;15/2/2024;Usa;Service;78;$5.8M;;
champion.co;lockbit3;15/2/2024;Colombia;Transportation;;;;
pradiergranulats.fr;lockbit3;15/2/2024;France;Construction;;;;
centralepaysanne.lu;lockbit3;15/2/2024;Luxembourg;Hospitality;11-50;;;
ASA Electronics;alphv;15/2/2024;Usa;Technology;114;$40.7M;;
Nekoosa School District;akira;14/2/2024;Usa;Education;160;$17.5M;;
BM Catalysts bmcatalysts.co;mydata;14/2/2024;Uk;Industrial;215;$36.1M;;
FALCO Electronics;trigona;14/2/2024;Mexico;Industrial;144;$525.1M;;
America Movil;trigona;14/2/2024;Mexico;Technology;977;$43.2M;;
vanwingerden;abyss;14/2/2024;Usa;Hospitality;171;$34M;;
conseguros;qilin;14/2/2024;Guatemala;Financial;;;;
KALEEDS;qilin;14/2/2024;Usa;Service;;;;
kabat.pl;lockbit3;14/2/2024;Poland;Industrial;903;$7.5M;;
Sindicato de Enfermería (SATSE);hunters;14/2/2024;Spain;Service;110;$40.7M;;
wsnelson;lockbit3;14/2/2024;Usa;Energy;277;$76.1M;;
fultoncountyga.gov;lockbit3;14/2/2024;Usa;Public;4562;$815.9M;;
ATB SA Ingénieursconseils SIA;8base;14/2/2024;Switzerland;Service;;;;
Institutional Casework;8base;14/2/2024;Usa;Industrial;254;$32.5M;;
UNIFER;8base;14/2/2024;France;Construction;29;;;
mmiculinary;lockbit3;14/2/2024;Usa;Hospitality;51-200;;;
adioscancer;lockbit3;14/2/2024;Usa;Healthcare;;;;
giraud;qilin;14/2/2024;France;Construction;;;;
patriziapepe;blackbasta;13/2/2024;Italy;Retail;694;$426.3M;;
ffppkg.co;blackbasta;13/2/2024;Uk;Service;80;$23M;;
barberemerson;blackbasta;13/2/2024;Usa;Service;;;;
motilaloswal;lockbit3;13/2/2024;India;Service;10001-50000;;;
rajawali;lockbit3;13/2/2024;Indonesia;Service;156;$552.3M;;
leonardssyrups;blackbasta;13/2/2024;Usa;Hospitality;91;$22M;;
ssmnlaw;blackbasta;13/2/2024;Usa;Service;;;;
globalrescue;blackbasta;13/2/2024;Usa;Hospitality;205;$78.6M;;
btl.info;blackbasta;13/2/2024;Germany;Service;2000;$501.4M;;
ROOSENS BÉTONS;qilin;13/2/2024;France;Industrial;29;;;
Communication Federal Credit Union;hunters;13/2/2024;Usa;Financial;266;$49.3M;;
universalservicesms;lockbit3;13/2/2024;Usa;Construction;78;$18.8M;;
doprastav.sk;lockbit3;13/2/2024;Slovakia;Construction;1237;$302.6M;;
TransNorthern Pipelines;alphv;13/2/2024;Canada;Energy;150;$79.7M;;
ArcisGolf;alphv;13/2/2024;Usa;Hospitality;6000;$781.4M;;
The Source;alphv;13/2/2024;Canada;Technology;641;$411.5M;;
Herrs;alphv;13/2/2024;Usa;Energy;1600;$675M;;
New Indy Containerboard;alphv;13/2/2024;Usa;Industrial;1555;$438.1M;;
Procopio;alphv;13/2/2024;Usa;Service;426;$500M;;
Satse;hunters;13/2/2024;Spain;Service;110;$40.7M;;
SOPEM;hunters;13/2/2024;Tunesia;Industrial;28;$11.6M;;
auruminstitute;lockbit3;13/2/2024;South africa;Healthcare;3824;$102.6M;;
Sanok Rubber CompanySpólka Akcyjna;akira;13/2/2024;Poland;Industrial;2927;$346.5M;;
garonproducts;threeam;12/2/2024;Usa;Service;;;;
Antunovich Associates;blacksuit;12/2/2024;Usa;Service;100;$19.1M;;
tecasrl.it;lockbit3;12/2/2024;Italy;Industrial;;;;
DHX–Dependable Hawaiian Express;knight;12/2/2024;Usa;Transportation;422;$89.4M;;
Rush Energy Services Inc;alphv;12/2/2024;Canada;Financial;;$5.2M;;
Gascontec;cloak;12/2/2024;Germany;Service;;;;
;cloak;12/2/2024;Usa;Technology;;;;
SERCIDE;alphv;12/2/2024;Spain;Energy;;;;
Lower Valley Energy;alphv;12/2/2024;Usa;Energy;80;$24.7M;;
Modern Kitchens;medusalocker;12/2/2024;Usa;Retail;;;;
germaintoiture.fr;lockbit3;12/2/2024;France;Construction;;;;
vhprimary;lockbit3;12/2/2024;United arab emirates;Education;99;$22.6M;;
Disaronno International;meow;12/2/2024;Italy;Consumer;28;$9.2M;;
Arlington Perinatal Associates;meow;12/2/2024;Usa;Healthcare;2-10;;;
Freedom Munitions;meow;12/2/2024;Usa;Service;50;$7.8M;;
Allmetal Inc.;meow;12/2/2024;Usa;Construction;284;$72.8M;;
parkhomeassist.co;lockbit3;12/2/2024;Uk;Financial;;;;
robs;lockbit3;12/2/2024;Usa;Education;94;$18.6M;;
jacksonvillebeach;lockbit3;12/2/2024;Usa;Service;298;$7.1M;;
paltertonprimary.co;lockbit3;12/2/2024;Uk;Education;;;;
sealcoleb;lockbit3;12/2/2024;Lebanon;Technology;122;$13.1M;;
envie;lockbit3;12/2/2024;France;Service;98;;;
dienerprecisionpumps;lockbit3;12/2/2024;Switzerland;Industrial;64;$16.9M;;
lyon.co;lockbit3;12/2/2024;Uk;Industrial;85;$18.7M;;
