victim;gang;date;Victim Country;Victim sectors;NumberN/AofN/Aemployees;Sales;Ransom Currency;Ransom Paid
Fukoku Co. Ltd.;spacebears;09/01/2025 ;Japan;Manufacturing;1157;$552.2M;;
kingpower.com;abyss;08/01/2025 ;Thailand;Retail;5985;$1.3B;;
Press Color;akira;08/01/2025 ;Usa;Business service;<25;<$5M;;
Huntington Hotel Group;termite;08/01/2025 ;Usa;Business service;644;$83.4M;;
fwmep.edu;incransom;08/01/2025 ;Usa;Education;69;$7M;;
sahpetrol;ransomhub;08/01/2025 ;Turkey;Hospitality;67;$15.5M;;
Slawson Companies;akira;08/01/2025 ;Usa;Real estate;104;$194.7M;;
Surface Combustion;akira;08/01/2025 ;Usa;Industrial;95;$18.3M;;
acquafertil;ransomhub;08/01/2025 ;Brazil;Retail;107;$7.5M;;
General Digital;spacebears;08/01/2025 ;Usa;Software;83;$37.7M;;
jimthompson;lynx;07/01/2025 ;Thailand;Hospitality;48;$5.9M;;
General Digital CRM;spacebears;08/01/2025 ;Taiwan;Service;;;;
astaphans;lynx;07/01/2025 ;Usa;Retail;25;$5.3M;;
Arrotex Pharmaceuticals;morpheus;07/01/2025 ;Australia;Manufacturing;405;$92M;;
Pus Gmbh;morpheus;07/01/2025 ;Germany;Construction;<25;<$5M;;
AAA Environmental;akira;07/01/2025 ;Usa;Energy;<25;$7M;;
Drywall Partitions;akira;07/01/2025 ;Usa;Construction;97;$18.7M;;
Drivestream;akira;07/01/2025 ;Usa;Business service;348;$74.3M;;
Bergström Wines;8base;07/01/2025 ;Usa;Retail;<25;<$5M;;
ASCOM S.p.A.;8base;07/01/2025 ;Italy;Service;59;<$5M;;
Omnitravel;8base;07/01/2025 ;Belgium;Service;<25;<$5M;;
Weininger Metall System GmbH;8base;07/01/2025 ;Germany;Retail;<25;<$5M;;
IRO PARIS;8base;07/01/2025 ;France;Retail;70;<$5M;;
CED Solutions Computer IT Training Centers;8base;07/01/2025 ;Usa;Service;;;;
SPORT BOUTIQ;8base;07/01/2025 ;France;Retail;<25;<$5M;;
Lake Shore Public Schools;8base;07/01/2025 ;Usa;Education;<25;$15.7M;;
HECTARE;8base;07/01/2025 ;France;Agriculture;<25;<$5M;;
Saint-Bar ;FOG;07/01/2025 ;Belgium;No profit;90;<$5M;;
Excel Transportation;lynx;07/01/2025 ;Usa;Logistic;83;$6.2M;;
D-7 Roofing;lynx;07/01/2025 ;Usa;Construction;28;$26.7M;;
Sunflower Medical Group;rhysida;07/01/2025 ;Usa;Hospitality;136;$7.6M;;
VELSOL;clop;6/1/2025;Usa;Industrial;<25;$7.8M;;
WSINC;clop;6/1/2025;Usa;Service;1760;$574.8M;;
Gunnar Prefab;akira;6/1/2025;Sweden;Construction;<25;<$5M;;
Los Andes;akira;6/1/2025;Argentina;Education;<25;<$5M;;
A Bar A Ranch;akira;6/1/2025;Usa;Hospitality;25;<$5M;;
Maverick Constructors;akira;6/1/2025;Usa;Construction;<25;$6.2M;;
yoniot.cn;darkvault;6/1/2025;China;;;;;
Action Imports;akira;6/1/2025;Canada;Retail;<25;<$5M;;
Bluegrass Ingredients;akira;6/1/2025;Usa;Food;266;$74.3M;;
molars.co.ke;ransomhub;6/1/2025;Kenya;Healthcare;435;$23.9M;;
akantha.fr;eldorado;5/1/2025;France;Software;<25;<$5M;;
Hunter Taubman Fischer & Li;lynx;5/1/2025;Usa;Law;29;<$5M;;
Veccio and Company PLLC;qilin;5/1/2025;Usa;Business service;<25;<$5M;;
hasa-arg;eldorado;4/1/2025;Argentina;Energy;638;$35.1M;;
Auxis;apos;4/1/2025;Usa;Business service;600;$162.5M;;
perucontrols;eldorado;4/1/2025;Peru;Industrial;<25;<$5M;;
Montreal North;rhysida;4/1/2025;Canada;Construction;70;$8.7M;;
smawins;qilin;4/1/2025;Usa;Business service;800;$63.7M;;
maxvaluecredits;qilin;4/1/2025;India;Banking;29;$5.8M;;
YorkTest Laboratories;qilin;4/1/2025;Usa;Manufacturing;68;$12.2M;;
lscd;qilin;4/1/2025;Usa;Business service;<25;<$5M;;
alliancemat;ransomhub;3/1/2025;Usa;Industrial;200;$148M;;
ISOR;cicada3301;3/1/2025;France;Food;3765;$309M;;
Nikki-Universal Co Ltd;hunters;3/1/2025;Japan;Manufacturing;;;;
Amourgis & Associates;lynx;3/1/2025;Usa;Law;79;$15.5M;;
geedingconstruction;ransomhub;3/1/2025;Usa;Construction;73;$26M;;
Lyons Specialty Co.;8base;3/1/2025;Usa;Retail;83;$26.6M;;
Carrollton Orthopaedic Clinic;8base;3/1/2025;Usa;Healthcare;<25;$12.2M;;
Tarnaise des Panneaux SAS;8base;3/1/2025;France;Construction;73;<$5M;;
Jay Enn Corporation;8base;3/1/2025;Usa;Industrial;83;$16.8M;;
VOLTAIRE AVOCATS;8base;3/1/2025;France;Law;<25;$5.4M;;
Grupo Buddemeyer;8base;3/1/2025;Brazil;Hospitality;1869;$73.4M;;
SolGeo AG Baugelogie and Geotechnik;8base;3/1/2025;Switzerland;Industrial;26;$7.3M;;
confluxhr;darkvault;2/1/2025;India;Service;<25;<$5M;;
groupegm;ransomhub;2/1/2025;France;Financial;<25;$7.1M;;
Kitevuc - Equipamentos E Veiculos Utilitários E Comerciais;ciphbit;1/1/2025;Portugal;Hospitality;28;$6.4M;;
lianbeng.sg;ransomhub;1/1/2025;Singapore;Construction;2200;$627.5M;;
Cogitis;dragonforce;31/12/2024;France;Service;101;$20.3M;;
metlife;ransomhub;31/12/2024;Usa;Insurance;45000;$66.9B;;
McCray Lumber;play;30/12/2024;Usa;Construction;213;$40.4M;;
Zeifmans;play;30/12/2024;Canada;Business service;139;$26.4M;;
Luxury Yacht Group;play;30/12/2024 ;Usa;Automotive;<25;$6.4M;;
Bettisworth North;play;30/12/2024 ;Usa;Construction;34;$9.8M;;
Allen Carr’s Easyway;handala;30/12/2024 ;Israel;Service;57;$13M;;
royalinsignia;safepay;29/12/2024;Singapore;Manufacturing;68;$6.5M;;
starkvillesd;safepay;29/12/2024;Usa;Real estate;<25;$9.1M;;
spiro.k12.ok;safepay;29/12/2024;Usa;Education;<25;<$5M;;
byronunionschooldistrict;safepay;29/12/2024;Usa;Education;215;$27.4M;;
multicoasia;safepay;29/12/2024;Singapore;Design;27;$11.6M;;
dprinvestments;safepay;29/12/2024;Usa;Financial;<25;$17.9M;;
UPR.SG;safepay;29/12/2024;Singapore;Industrial;32;$8.9M;;
asesoriacamen;ransomhub;29/12/2024;Spain;Financial;;;;
Meerapfel Family;arcusmedia;29/12/2024;Switzerland;Food;<25;<$5M;;
Wosac;arcusmedia;29/12/2024;Tanzania;Transportation;<25;<$5M;;
Megaexit;arcusmedia;29/12/2024;Spain;Retail;<25;$13.6M;;
Hi-Raise Constructions Holding;arcusmedia;29/12/2024;Ukraina;Holding;<25;<$5M;;
Enge Ilha Construção;arcusmedia;29/12/2024;Brazil;Construction;<25;<$5M;;
psccorporation;ransomhub;29/12/2024;Singapore;Business service;984;$384.4M;;
Engenet Informatica;arcusmedia;29/12/2024;Brazil;Service;<25;<$5M;;
Asheville Eye Associates;dragonforce;29/12/2024;Usa;Hospitality;129;<$5M;;
Ikav Global Energy;dragonforce;29/12/2024;Germany;Energy;235;$7.9M;;
Marzzacco Niven & Associates;bianlian;8/11/2024;Usa;Financial;<25;$5.3M;;
D&G Enviro-Group;eldorado;28/12/2024;Canada;Energy;<25;<$5M;;
timely.mn;darkvault;28/12/2024;Mongolia;Software;<25;$8.4M;;
nigico.gr;ransomhub;28/12/2024;Greece;Industrial;29;<$5M;;
Watertown Public Schools;raworld;28/12/2024;Usa;Education;132;$31.9M;;
STEG Stadtentwicklung;raworld;28/12/2024;Germany;Industrial;61;<$5M;;
Ire-Omba SpA;raworld;28/12/2024;Italy;Automotive;99;$27.3M;;
Cell C;ransomhouse;28/12/2024;South africa;Telecommunication;900;$332.6M;;
Youth Eastside Services;incransom;28/12/2024;Usa;Hospitality;90;$16.9M;;
Atos ;spacebears;28/12/2024;France;Business service;95140;$11.9B;;
falp;incransom;27/12/2024;Chile;Hospitality;<25;<$5M;;
diazfoodsolutions;ransomhub;27/12/2024;Spain;Food;;;;
VO Baker;akira;27/12/2024;Usa;Chemical;<25;$6M;;
Inner City Family Health Team ;incransom;27/12/2024;Canada;Hospitality;64;$8.9M;;
Primary Health Services Center;incransom;27/12/2024;Usa;Healthcare;143;$7.6M;;
Pergher Notariat;ciphbit;26/12/2024;Switzerland;Service;<25;<$5M;;
Caframo Limited.;bianlian;26/12/2024;Canada;Construction;113;$45M;;
Ober Mountain ;FOG;26/12/2024;Usa;Attraction;146;$28.5M;;
Family Help & Wellness;hunters;26/12/2024;Usa;Fitness;34;<$5M;;
McCormick & Priore;interlock;26/12/2024;Usa;Law;43;$10M;;
E-Tank;akira;26/12/2024;Usa;Energy;110;$17.3M;;
MLP Tax & Financial Services;akira;26/12/2024;Usa;Service;<25;;;
Rio Negro;akira;26/12/2024;Argentina;Governative;1129;$95.9M;;
Ramos Law;akira;26/12/2024;Usa;Law;85;$17.1M;;
Pinno Construction;akira;26/12/2024;Usa;Construction;<25;$5.3M;;
Charlie’s Tax Service;akira;26/12/2024;Usa;Service;<25;;;
Michelle Accesorios;sarcoma;26/12/2024;Mexico;Retail;539;$29.6M;;
Car Care Plan ;hellcat;26/12/2024;Turkey;Service;80;$47.7M;;
Reutone;handala;25/12/2024;Israel;Service;<25;<$5M;;
Aroma Housewares Co ;FOG;25/12/2024;Usa;Appliance;81;$64.2M;;
itca.edu.sv;safepay;25/12/2024;El salvador;Education;150;$56.5M;;
etplaw;safepay;25/12/2024;Singapore;Law;<25;<$5M;;
Supraterra;sarcoma;25/12/2024;Mexico;Hospitality;67;$17.1M;;
Smiles Dental;rhysida;25/12/2024;Canada;Hospitality;222;$17.3M;;
Tillamook Country Smoker;akira;25/12/2024;Usa;Food;244;$67M;;
Inteleca;akira;25/12/2024;Usa;Service;34;$13.8M;;
blueyonder;clop;24/12/2024;Usa;Software;10500;$2.2B;;
pispl#####;clop;24/12/2024;India;;;;;
linfo#####;clop;24/12/2024;Australia;;;;;
espri#####;clop;24/12/2024;Germany;;;;;
datat#####;clop;24/12/2024;Usa;;;;;
weste#####;clop;24/12/2024;Usa;;;;;
cleo#####;clop;24/12/2024;Non disponibile;;;;;
centr#####;clop;24/12/2024;Usa;;;;;
clawl#####;clop;24/12/2024;Usa;;;;;
cps#####;clop;24/12/2024;Usa;;;;;
terra#####;clop;24/12/2024;Usa;;;;;
sdite#####;clop;24/12/2024;Usa;;;;;
hear#####;clop;24/12/2024;Usa;;;;;
ciera#####;clop;24/12/2024;Usa;;;;;
steel#####;clop;24/12/2024;Usa;;;;;
ekome#####;clop;24/12/2024;Poland;;;;;
mercu#####;clop;24/12/2024;Usa;;;;;
coves#####;clop;24/12/2024;Germany;;;;;
thoms#####;clop;24/12/2024;Usa;;;;;
nissi#####;clop;24/12/2024;Usa;;;;;
encom#####;clop;24/12/2024;Usa;;;;;
iceri#####;clop;24/12/2024;Usa;;;;;
break#####;clop;24/12/2024;Usa;;;;;
